FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG
evalfunc.c,6185,"static void f_has(typval_T * argvars, typval_T * rettv)",164.70557,163.37224,1.136612,0.19672132,634,566,794,183,208,155,36,21
screen.c,3144,"static int win_line(win_T * wp, linenr_T lnum, int startrow, int endrow, int nochange UNUSED, int number_only)",110.70439,109.30322,1.0813954,0.31976745,2480,1576,1987,172,186,22,55,10
version.c,4219,void list_version(void),55.593033,52.030533,1.09375,2.46875,262,213,526,64,70,35,158,24
option.c,6260,"static char * did_set_string_option(int opt_idx, char_u * * varp, int new_value_alloced, char_u * oldval, char * errbuf, int opt_flags, int * value_checked)",53.454384,52.03463,1.1728395,0.24691358,1415,909,1134,81,95,54,20,4
term.c,4406,"int check_termcode(int max_offset, char_u * buf, int bufsize, int * buflen)",53.24275,50.259415,1.2,1.7833333,1195,1001,2332,60,72,23,107,8
ex_getln.c,847,"static char_u * getcmdline_int(int firstc, long count UNUSED, int indent, int init_ccline)",51.48575,50.34117,1.0120482,0.13253012,1319,800,857,83,84,22,11,2
edit.c,144,"int edit(int cmdchar, int startln, long count)",44.367805,43.24435,1.037037,0.086419754,974,520,582,81,84,27,7,1
main.c,455,int vim_main2(void),39.3543,36.327274,1.3243244,1.7027028,275,270,562,37,49,23,63,7
os_unix.c,6047,"int #else static int #endif RealWaitForChar(int fd, long msec, int * check_for_gpm UNUSED, int * interrupted)",38.733555,36.8125,1.0789474,0.84210527,288,279,520,38,41,14,32,6
tag.c,1545,"int find_tags(char_u * pat, int * num_matches, char_u * * * matchesp, int flags, int mincount, char_u * buf_ffname)",37.466835,36.405296,1.0,0.06153846,982,550,568,65,65,7,4,6
option.c,3305,void set_init_1(int clean_arg),34.487804,31.0,1.6097561,1.8780488,328,248,625,41,66,21,77,28
change.c,1427,"int open_line(int dir, int flags, int second_line_indent)",29.80382,28.317333,1.1081082,0.3783784,750,574,666,37,41,8,14,2
option.c,11066,static char_u * get_varp(struct vimoption * p),28.511993,27.390041,1.0731708,0.048780486,241,161,179,41,44,27,2,0
option.c,8528,"static char * set_bool_option(int opt_idx, char_u * varp, int value, int opt_flags)",28.211704,26.948545,1.0,0.2631579,447,317,362,38,38,24,10,0
fileio.c,7410,"char_u * vim_tempname(int extra_char UNUSED, int keep UNUSED)",24.200193,21.06383,1.3181819,1.8181819,141,135,333,22,29,8,40,11
gui.c,2230,"int gui_outstr_nowrap(char_u * s, int len, int flags, guicolor_T fg, guicolor_T bg, int back)",23.709785,21.74312,1.1666666,0.8,327,237,331,30,35,10,24,8
main.c,99,"int #if defined(MSWIN) VimMain #else main #endif(int argc, char * * argv)",22.916256,21.571428,1.2413793,0.10344828,203,151,229,29,36,20,3,4
main.c,3297,static void usage(void),21.708109,20.108109,1.1333333,0.46666667,185,124,176,30,34,25,14,3
gui_gtk_x11.c,3568,int gui_mch_init(void),21.19732,19.742775,1.0909091,0.36363637,346,207,293,33,36,12,12,7
ex_docmd.c,619,"int do_cmdline(char_u * cmdline, char_u *( * fgetline)(int, void *, int, int), void * cookie, int flags)",21.08799,19.97688,1.0,0.11111111,519,384,405,27,27,3,3,3
ui.c,2919,"int jump_to_mouse(int flags, int * inclusive, int which_button)",20.873602,19.591549,1.051282,0.23076923,426,214,253,39,41,10,9,2
term.c,1775,int set_termname(char_u * term),20.674429,19.041096,1.1333333,0.5,219,139,253,30,34,12,15,2
gui.c,481,void gui_init(void),19.450752,17.773333,1.1612903,0.516129,225,129,209,31,36,19,16,5
