Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU
PROTO,0.5184582,0.5189928,0.07039465,0.44806352,0.44859812,1031,14646,154400,344594,96
FEAT_EVAL,0.16848731,0.38434976,0.052574083,0.11591322,0.3317757,770,14646,39943,344594,71
FEAT_GUI,0.060709056,0.26540244,0.041103374,0.019605681,0.22429906,602,14646,6756,344594,48
MSWIN,0.05208712,0.24049754,0.03489007,0.01719705,0.20560747,511,14646,5926,344594,44
FEAT_SPELL,0.041637763,0.1044807,0.0063498565,0.035287905,0.098130845,93,14646,12160,344594,21
FEAT_SYN_HL,0.037257172,0.13279949,0.015977059,0.021280115,0.11682243,234,14646,7333,344594,25
FEAT_FOLDING,0.036639247,0.16705017,0.022190358,0.014448888,0.1448598,325,14646,4979,344594,31
UNIX,0.035753537,0.18298066,0.024102144,0.011651393,0.1588785,353,14646,4015,344594,34
FEAT_QUICKFIX,0.034408607,0.14415534,0.0133142155,0.02109439,0.13084112,195,14646,7269,344594,28
GTK_CHECK_VERSION,0.032712054,0.057836592,0.025126314,0.007585739,0.03271028,368,14646,2614,344594,7
FEAT_DIFF,0.031071536,0.15971443,0.019527515,0.01154402,0.14018692,286,14646,3978,344594,30
FEAT_MENU,0.030462705,0.147053,0.011538987,0.018923718,0.13551402,169,14646,6521,344594,29
FEAT_JOB_CHANNEL,0.030073307,0.13016663,0.00867131,0.021401998,0.12149533,127,14646,7375,344594,26
FEAT_GUI_MSWIN,0.029569987,0.13515094,0.013655606,0.01591438,0.12149533,200,14646,5484,344594,26
FEAT_TERMINAL,0.028773002,0.1405366,0.00969548,0.019077523,0.13084112,142,14646,6574,344594,28
FEAT_GUI_GTK,0.024120808,0.14388223,0.013041103,0.011079705,0.13084112,191,14646,3818,344594,28
FEAT_INS_EXPAND,0.023016278,0.12006978,0.007920251,0.0150960265,0.11214953,116,14646,5202,344594,24
VIMDLL,0.02166466,0.109055325,0.010924485,0.010740176,0.098130845,160,14646,3701,344594,21
VMS,0.021490036,0.14497468,0.014133552,0.0073564835,0.13084112,207,14646,2535,344594,28
FEAT_TEXT_PROP,0.02001307,0.1109971,0.008193363,0.011819706,0.10280374,120,14646,4073,344594,22
FEAT_TOOLBAR,0.017947912,0.07327253,0.007851973,0.010095939,0.06542056,115,14646,3479,344594,14
FEAT_MOUSE,0.016649587,0.10035402,0.006896081,0.009753507,0.093457945,101,14646,3361,344594,20
FEAT_CINDENT,0.01606991,0.057683446,0.0062815784,0.009788331,0.05140187,92,14646,3373,344594,11
FEAT_RIGHTLEFT,0.015938142,0.12003979,0.012563157,0.0033749861,0.10747664,184,14646,1163,344594,23
FEAT_CMDL_COMPL,0.015720855,0.09905674,0.0055987984,0.010122057,0.093457945,82,14646,3488,344594,20
FEAT_CLIPBOARD,0.0149730705,0.11972839,0.007578861,0.007394209,0.11214953,111,14646,2548,344594,24
FEAT_NETBEANS_INTG,0.014826722,0.14083971,0.005325686,0.009501036,0.13551402,78,14646,3274,344594,29
FEAT_CRYPT,0.014171637,0.09128135,0.007169193,0.0070024435,0.08411215,105,14646,2413,344594,18
EBCDIC,0.013996864,0.100080915,0.0066229687,0.007373895,0.093457945,97,14646,2541,344594,20
FEAT_BROWSE,0.013937084,0.09274517,0.0039601256,0.009976959,0.088785045,58,14646,3438,344594,19
FEAT_GUI_TABLINE,0.012635083,0.070200026,0.004779462,0.007855621,0.06542056,70,14646,2707,344594,14
FEAT_FLOAT,0.012369784,0.07402359,0.008603032,0.0037667516,0.06542056,126,14646,1298,344594,14
FEAT_CLIENTSERVER,0.011965771,0.06985863,0.004438072,0.007527699,0.06542056,65,14646,2594,344594,14
FEAT_PRINTER,0.011821507,0.03888529,0.0015021167,0.01031939,0.037383176,22,14646,3556,344594,8
FEAT_MZSCHEME,0.011591701,0.048982147,0.002253175,0.009338526,0.046728972,33,14646,3218,344594,10
FEAT_SEARCH_EXTRA,0.011354929,0.06174184,0.0056670764,0.005687853,0.056074765,83,14646,1960,344594,12
FEAT_VIMINFO,0.011347549,0.06856135,0.0031407892,0.00820676,0.06542056,46,14646,2828,344594,14
FEAT_TITLE,0.010918042,0.13292775,0.006759525,0.004158517,0.12616822,99,14646,1433,344594,27
FEAT_VARTABS,0.010632221,0.08742778,0.007988529,0.002643691,0.07943925,117,14646,911,344594,17
FEAT_POSTSCRIPT,0.010356178,0.034348954,0.0016386727,0.008717505,0.03271028,24,14646,3004,344594,7
FEAT_CSCOPE,0.010245947,0.05549855,0.0040966817,0.0061492654,0.05140187,60,14646,2119,344594,11
FEAT_GUI_DIALOG,0.0101563735,0.101339914,0.0032090673,0.006947306,0.098130845,47,14646,2394,344594,21
FEAT_TERMGUICOLORS,0.010150063,0.057820003,0.0064181346,0.003731928,0.05140187,94,14646,1286,344594,11
FEAT_SIGNS,0.010108736,0.07818025,0.0034139014,0.006694835,0.07476635,50,14646,2307,344594,16
DYNAMIC_RUBY_VER,0.009436446,0.01252487,0.007851973,0.0015844733,0.004672897,115,14646,546,344594,1
